,time,open,high,low,close,tick_volume,spread,real_volume,MA20
0,2021-11-05 06:50:00,1.15551,1.15552,1.15533,1.1553499999999999,54,5,0,
1,2021-11-05 06:55:00,1.1553499999999999,1.15556,1.15526,1.1553,101,5,0,
2,2021-11-05 07:00:00,1.15528,1.15533,1.15514,1.15514,115,5,0,
3,2021-11-05 07:05:00,1.15514,1.15518,1.155,1.15516,89,5,0,
4,2021-11-05 07:10:00,1.15514,1.1553499999999999,1.15511,1.1553499999999999,75,5,0,
5,2021-11-05 07:15:00,1.15536,1.1555,1.1553200000000001,1.15541,66,5,0,
6,2021-11-05 07:20:00,1.15541,1.15542,1.15524,1.15526,83,5,0,
7,2021-11-05 07:25:00,1.15526,1.1553,1.1550799999999999,1.15509,61,5,0,
8,2021-11-05 07:30:00,1.1551,1.15525,1.15505,1.15525,73,5,0,
9,2021-11-05 07:35:00,1.15525,1.15545,1.15515,1.15542,75,5,0,
10,2021-11-05 07:40:00,1.15542,1.15567,1.15542,1.15565,218,5,0,
11,2021-11-05 07:45:00,1.15565,1.15565,1.1555,1.15561,71,5,0,
12,2021-11-05 07:50:00,1.1556,1.15567,1.15552,1.15561,73,5,0,
13,2021-11-05 07:55:00,1.15561,1.15561,1.15538,1.15541,72,5,0,
14,2021-11-05 08:00:00,1.15542,1.1555900000000001,1.15524,1.15552,179,5,0,
15,2021-11-05 08:05:00,1.15552,1.15576,1.15552,1.1556899999999999,152,5,0,
16,2021-11-05 08:10:00,1.1556899999999999,1.15592,1.15564,1.15581,119,5,0,
17,2021-11-05 08:15:00,1.15582,1.15621,1.15573,1.156,194,5,0,
18,2021-11-05 08:20:00,1.15598,1.15619,1.15594,1.15606,194,5,0,
19,2021-11-05 08:25:00,1.15606,1.15616,1.15604,1.15611,175,5,0,1.15551
20,2021-11-05 08:30:00,1.15611,1.15627,1.15604,1.15623,141,5,0,1.155554
21,2021-11-05 08:35:00,1.15625,1.15625,1.15598,1.15598,200,5,0,1.155588
22,2021-11-05 08:40:00,1.15597,1.15605,1.15589,1.156,163,5,0,1.155631
23,2021-11-05 08:45:00,1.15599,1.15613,1.15592,1.15611,123,5,0,1.1556785
24,2021-11-05 08:50:00,1.1561,1.1561,1.15582,1.15584,147,5,0,1.1557030000000004
25,2021-11-05 08:55:00,1.15585,1.15619,1.15577,1.15601,234,5,0,1.1557330000000001
26,2021-11-05 09:00:00,1.15599,1.15609,1.1556,1.1556,391,5,0,1.1557500000000003
27,2021-11-05 09:05:00,1.1556,1.15599,1.1555,1.15595,377,5,0,1.1557930000000003
28,2021-11-05 09:10:00,1.15595,1.15597,1.15546,1.15553,291,5,0,1.1558070000000003
29,2021-11-05 09:15:00,1.15554,1.15572,1.15522,1.1557,390,5,0,1.1558210000000002
30,2021-11-05 09:20:00,1.15571,1.15579,1.1553,1.1553499999999999,344,5,0,1.1558060000000001
31,2021-11-05 09:25:00,1.1553499999999999,1.15554,1.1550799999999999,1.1555,387,5,0,1.1558005000000002
32,2021-11-05 09:30:00,1.1555,1.15584,1.1554,1.15567,289,5,0,1.1558035000000002
33,2021-11-05 09:35:00,1.15566,1.15588,1.15562,1.15586,382,5,0,1.1558260000000002
34,2021-11-05 09:40:00,1.15587,1.15603,1.15534,1.15538,286,5,0,1.1558190000000004
35,2021-11-05 09:45:00,1.15538,1.15555,1.15516,1.15517,287,5,0,1.1557930000000003
36,2021-11-05 09:50:00,1.1552,1.15556,1.15494,1.15506,265,5,0,1.1557555000000002
37,2021-11-05 09:55:00,1.15505,1.15526,1.15468,1.15487,303,5,0,1.1556990000000003
38,2021-11-05 10:00:00,1.15486,1.15491,1.1545,1.15455,345,5,0,1.1556235000000004
39,2021-11-05 10:05:00,1.15454,1.15465,1.15426,1.1543,281,5,0,1.1555330000000001
40,2021-11-05 10:10:00,1.15431,1.15456,1.15409,1.15433,238,5,0,1.1554380000000002
41,2021-11-05 10:15:00,1.15427,1.15439,1.1541299999999999,1.15428,196,5,0,1.1553530000000003
42,2021-11-05 10:20:00,1.15431,1.15473,1.15419,1.15446,285,5,0,1.1552760000000002
43,2021-11-05 10:25:00,1.1544699999999999,1.15451,1.15388,1.15395,415,5,0,1.1551680000000004
44,2021-11-05 10:30:00,1.15394,1.15431,1.15389,1.15421,260,5,0,1.1550865000000003
45,2021-11-05 10:35:00,1.15421,1.15426,1.1540300000000001,1.1542,183,5,0,1.1549960000000004
46,2021-11-05 10:40:00,1.15419,1.15439,1.15411,1.15432,220,5,0,1.1549320000000003
47,2021-11-05 10:45:00,1.15433,1.15436,1.1540300000000001,1.1542,201,5,0,1.1548445000000003
48,2021-11-05 10:50:00,1.15418,1.15431,1.1541,1.15411,137,5,0,1.1547735000000003
49,2021-11-05 10:55:00,1.15412,1.15443,1.1541,1.15419,233,5,0,1.1546980000000002
50,2021-11-05 11:00:00,1.15419,1.15421,1.15379,1.1538,226,5,0,1.1546205000000005
51,2021-11-05 11:05:00,1.15378,1.15378,1.15335,1.15348,293,5,0,1.1545195000000004
52,2021-11-05 11:10:00,1.15349,1.1537600000000001,1.15343,1.15375,183,5,0,1.1544235000000003
53,2021-11-05 11:15:00,1.1537600000000001,1.15405,1.15373,1.15396,173,5,0,1.1543285000000003
54,2021-11-05 11:20:00,1.15396,1.1540300000000001,1.15349,1.15353,183,5,0,1.1542360000000003
55,2021-11-05 11:25:00,1.15354,1.15361,1.15335,1.15345,147,5,0,1.1541500000000002
56,2021-11-05 11:30:00,1.15345,1.15345,1.15321,1.15323,126,5,0,1.1540585000000003
57,2021-11-05 11:35:00,1.15324,1.15356,1.15322,1.15355,159,5,0,1.1539925000000004
58,2021-11-05 11:40:00,1.15355,1.15368,1.1531,1.15321,152,5,0,1.1539255000000004
59,2021-11-05 11:45:00,1.15321,1.15337,1.15312,1.15321,130,5,0,1.1538710000000005
60,2021-11-05 11:50:00,1.15321,1.1535,1.15318,1.1534200000000001,191,5,0,1.1538255000000004
61,2021-11-05 11:55:00,1.1534,1.15361,1.15334,1.1536,283,5,0,1.1537915000000005
62,2021-11-05 12:00:00,1.1536,1.15369,1.15333,1.15344,253,5,0,1.1537405000000005
63,2021-11-05 12:05:00,1.15344,1.15375,1.15339,1.15346,214,5,0,1.1537160000000006
64,2021-11-05 12:10:00,1.1534200000000001,1.15359,1.1531,1.15314,176,5,0,1.1536625000000007
65,2021-11-05 12:15:00,1.15314,1.15339,1.15307,1.1532499999999999,272,5,0,1.1536150000000007
66,2021-11-05 12:20:00,1.15324,1.1533,1.15305,1.15323,229,5,0,1.1535605000000007
