,time,open,high,low,close,tick_volume,spread,real_volume,data,M9,M20,M200,ADX
60,1636943940,1.14533,1.14535,1.14527,1.1453,26,5,0,2021-11-15 02:39:00,1.145085555555556,1.1447710000000006,,50.49735087483486
61,1636944000,1.1453,1.14535,1.14528,1.14532,12,5,0,2021-11-15 02:40:00,1.1451355555555558,1.1448240000000005,,52.306322496761126
62,1636944060,1.14531,1.14536,1.14531,1.14532,18,5,0,2021-11-15 02:41:00,1.1451833333333334,1.1448755000000006,,54.01191214927712
63,1636944120,1.14533,1.14535,1.14531,1.14535,14,6,0,2021-11-15 02:42:00,1.145227777777778,1.1449195000000008,,55.59567396947055
64,1636944180,1.14535,1.14535,1.1453,1.14534,24,5,0,2021-11-15 02:43:00,1.1452733333333336,1.1449620000000007,,56.85172750016866
65,1636944240,1.14533,1.14538,1.14531,1.14534,20,6,0,2021-11-15 02:44:00,1.145307777777778,1.1450045000000006,,58.11808486788828
66,1636944300,1.14533,1.14535,1.14532,1.14534,27,7,0,2021-11-15 02:45:00,1.1453344444444449,1.1450455000000006,,59.293988137913644
67,1636944360,1.14533,1.14556,1.14531,1.14553,32,5,0,2021-11-15 02:46:00,1.1453544444444448,1.1450945000000008,,60.92640576706338
68,1636944420,1.14554,1.14557,1.14545,1.14545,27,5,0,2021-11-15 02:47:00,1.145365555555556,1.1451380000000007,,62.46139623569592
69,1636944480,1.14546,1.14546,1.14541,1.14546,12,5,0,2021-11-15 02:48:00,1.1453833333333336,1.1451810000000007,,63.094106109164024
70,1636944540,1.14545,1.14551,1.14545,1.14548,14,6,0,2021-11-15 02:49:00,1.1454011111111113,1.1452250000000006,,63.8366868188095
71,1636944600,1.14548,1.1454900000000001,1.14537,1.14545,28,6,0,2021-11-15 02:50:00,1.1454155555555559,1.1452575000000007,,63.09647167992061
72,1636944660,1.14547,1.14557,1.14547,1.14557,16,6,0,2021-11-15 02:51:00,1.14544,1.1452925000000005,,62.77641696072015
73,1636944720,1.1455899999999999,1.1455899999999999,1.14556,1.14556,7,6,0,2021-11-15 02:52:00,1.1454644444444446,1.1453260000000005,,62.564638303663955
74,1636944780,1.14556,1.14578,1.14555,1.1457600000000001,31,5,0,2021-11-15 02:53:00,1.1455111111111111,1.1453665000000004,,63.02297063599598
75,1636944840,1.1457600000000001,1.1458,1.14574,1.14579,19,7,0,2021-11-15 02:54:00,1.145561111111111,1.1454095000000006,,63.504427843384015
76,1636944900,1.14578,1.14587,1.14577,1.14585,22,6,0,2021-11-15 02:55:00,1.1455966666666666,1.1454505000000006,,64.13893345055898
77,1636944960,1.14584,1.14592,1.14583,1.14589,17,5,0,2021-11-15 02:56:00,1.1456455555555554,1.1454900000000008,,64.85154722846063
78,1636945020,1.14591,1.14593,1.14588,1.14588,12,6,0,2021-11-15 02:57:00,1.1456922222222221,1.1455165000000007,,65.5378497862198
79,1636945080,1.14588,1.14596,1.14588,1.14595,9,5,0,2021-11-15 02:58:00,1.1457444444444442,1.1455465000000007,,66.25028859169021
80,1636945140,1.14595,1.14597,1.14594,1.14594,10,5,0,2021-11-15 02:59:00,1.1457988888888886,1.1455785000000007,,66.93733014735805
81,1636945200,1.14595,1.14636,1.14594,1.14636,46,5,0,2021-11-15 03:00:00,1.1458866666666665,1.1456305000000007,,68.22974555165608
82,1636945260,1.14636,1.1463700000000001,1.14603,1.14603,54,5,0,2021-11-15 03:01:00,1.1459388888888886,1.1456660000000007,,69.4409392759686
83,1636945320,1.14603,1.14606,1.14598,1.14606,47,5,0,2021-11-15 03:02:00,1.145972222222222,1.1457015000000008,,69.86570952701139
84,1636945380,1.14602,1.14613,1.14602,1.14605,34,5,0,2021-11-15 03:03:00,1.1460011111111108,1.1457370000000007,,70.3900253928947
85,1636945440,1.14605,1.14607,1.14596,1.14596,27,5,0,2021-11-15 03:04:00,1.1460133333333333,1.1457680000000006,,70.06876948289539
86,1636945500,1.14595,1.14598,1.14588,1.14589,34,5,0,2021-11-15 03:05:00,1.1460133333333333,1.1457955000000006,,68.7753889390747
87,1636945560,1.1459,1.1459,1.14572,1.1457600000000001,34,5,0,2021-11-15 03:06:00,1.146,1.1458070000000005,,65.91184896534675
88,1636945620,1.14575,1.1457600000000001,1.14565,1.14575,30,6,0,2021-11-15 03:07:00,1.1459777777777778,1.1458220000000003,,62.634160177044194
89,1636945680,1.14574,1.1457600000000001,1.14564,1.14564,33,5,0,2021-11-15 03:08:00,1.1459444444444447,1.1458310000000005,,59.50272579071929
90,1636945740,1.14565,1.14568,1.1455899999999999,1.1455899999999999,38,6,0,2021-11-15 03:09:00,1.1458588888888892,1.1458365000000004,,56.15117966574517
91,1636945800,1.1455899999999999,1.14577,1.14551,1.14577,56,5,0,2021-11-15 03:10:00,1.1458300000000003,1.1458525000000004,,53.613811253381265
92,1636945860,1.14579,1.14581,1.14568,1.14569,26,5,0,2021-11-15 03:11:00,1.1457888888888892,1.1458585000000003,,51.49692797123809
93,1636945920,1.14568,1.1457,1.14567,1.14567,12,6,0,2021-11-15 03:12:00,1.1457466666666667,1.1458640000000002,,49.43177061844805
94,1636945980,1.14568,1.1457,1.14564,1.14569,36,5,0,2021-11-15 03:13:00,1.1457166666666667,1.1458605000000002,,47.20746759253031
95,1636946040,1.14571,1.14577,1.14571,1.1457600000000001,9,6,0,2021-11-15 03:14:00,1.1457022222222224,1.1458590000000002,,45.61412181253646
96,1636946100,1.14575,1.14582,1.14574,1.14581,15,6,0,2021-11-15 03:15:00,1.1457077777777782,1.1458570000000001,,44.448800407033886
